	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
393	1	1	0	2	3	0	1	5	8
394	1	0	0	4	7	1	1	0	0
395	1	0	0	4	7	1	1	0	0
396	1	0	0	4	7	1	1	0	0
397	1	1	0	3	3	1	1	5	5
398	0	0	2	4	0	1	1	8	7
399	0	1	0	4	0	1	1	0	6
400	0	1	0	4	3	1	1	5	6
401	0	1	2	4	3	1	1	5	5
402	1	1	0	5	2	0	1	5	5
403	2	0	1	4	5	0	1	7	8
404	2	0	1	4	5	0	1	7	8
405	1	1	0	4	3	1	1	7	8
406	2	1	1	3	3	1	1	6	8
407	2	1	0	3	3	1	1	4	8
408	1	0	0	5	2	0	1	5	5
409	2	0	0	4	5	0	1	7	8
410	2	1	0	4	3	0	1	5	5
411	2	0	0	4	5	1	1	7	8
412	1	0	2	4	7	0	1	8	0
413	1	1	0	4	3	0	1	7	8
414	1	1	1	4	3	0	1	6	8
415	1	1	0	4	3	0	1	8	0
416	1	1	0	4	3	1	1	4	8
417	1	1	2	4	3	0	1	8	8
418	1	1	0	4	3	1	1	6	6
419	1	1	0	4	3	0	1	7	8
420	0	1	0	4	3	1	1	7	0
421	0	1	0	4	3	1	1	5	0
422	2	1	0	4	3	0	1	7	4
423	2	0	0	5	7	1	1	5	5
424	2	0	0	5	7	1	1	5	5
425	2	1	0	5	3	0	1	7	8
426	2	1	0	4	3	0	1	0	0
427	2	0	0	4	5	0	1	7	8
428	2	0	0	4	5	0	1	7	8
429	2	0	0	5	5	0	1	7	8
430	2	0	0	5	4	0	1	5	4
431	2	0	0	4	4	0	1	5	4
432	2	0	0	4	4	0	1	5	4
433	0	1	0	4	3	0	1	4	4
434	0	1	1	4	3	0	1	4	4
435	0	1	2	4	3	1	1	5	4
436	2	0	0	4	5	1	1	7	6
437	1	1	0	5	3	0	1	7	8
438	1	1	0	5	3	0	1	8	5
439	1	0	0	5	5	0	1	7	8
440	1	1	0	5	2	0	1	5	8
