	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
68	Miss	Constr	-	A1	time	м	FL	-	A	в	A
69	Extra	Gov	-	A1	time	м	FL	в	ADV	-	Adv
70	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
71	Miss	Constr	-	A1	time	ж	FL	-	A	в	A
72	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
73	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
74	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
75	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
76	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
77	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
78	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
79	Extra	Constr	-	A1	place	ж	FL	в	L	-	Adv
80	Extra	Constr	-	A1	place	м	FL	в	L	-	Adv
81	Extra	Constr	Transfer	A1	time	м	FL	в	Adv	-	Adv
82	Extra	Constr	-	A1	time	м	FL	на	Adv	-	Adv
83	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
84	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
85	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
86	Miss	Constr	-	A1	time	ж	FL	-	N	в	A
87	Miss	Constr	-	A1	time	ж	FL	-	A	в	A
88	Extra	Constr	-	A1	time	ж	FL	на	Adv	-	Adv
89	Extra	Constr	-	A1	time	ж	FL	на	Adv	-	Adv
90	Miss	Constr	-	A1	time	м	FL	-	N	в	A
91	Miss	Constr	-	A1	time	м	FL	-	N	в	A
92	Miss	Constr	-	A1	time	м	FL	-	N	в	A
93	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
94	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
95	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
96	Extra	Constr	-	A2	time	ж	FL	на	Adv	-	Adv
97	Extra	Constr	-	A2	time	ж	FL	в	Adv	-	Adv
98	Subst	Constr	-	A2	place	ж	FL	в	L	на	L
99	Miss	Constr	-	A2	time	ж	FL	-	A	в	A
100	Subst	Gov	-	A2	Verb	м	FL	в	L	по	D
101	Miss	Gov	-	B1	Verb	ж	FL	-	A	на	A
102	Subst	Gov	-	A1	Verb	м	FL	на	L	в	L
103	Subst	Gov	Transfer	A2	Noun	м	FL	из	G	от	G
104	Subst	Constr	-	A2	time	ж	FL	в	L	на	L
105	Subst	Constr	Fusion	A2	place	ж	FL	на	A	в	A
106	Miss	Gov	-	A2	time	ж	FL	-	A	в	A
107	Miss	Constr	Transfer	A2	time	ж	FL	-	A	в	A
108	Subst	Constr	-	A2	place	ж	FL	на	A	в	A
109	Miss	Gov	Transfer	A2	Verb	ж	FL	-	A	на	L
110	Miss	Gov	-	B1	Verb	ж	FL	-	A	на	A
111	Subst	Constr	Fusion	A2	time	ж	FL	в	L	на	L
112	Extra	Constr	Transfer	A2	time	ж	FL	на	Adv	-	Adv
113	Extra	Constr	Transfer	A2	time	ж	FL	на	Adv	-	Adv
114	Extra	Constr	Transfer	A2	time	ж	FL	на	Adv	-	Adv
115	Subst	Gov	Transfer	A2	Verb	ж	FL	из	L	с	G
116	Subst	Gov	-	A2	Verb	ж	FL	из	L	с	G
117	Miss	Constr	-	A2	Noun	ж	FL	-	G	для	G
118	Subst	Constr	Fusion	A2	place	ж	FL	в	L	на	L
119	Subst	Gov	Fusion	A2	Verb	ж	FL	на	A	в	A
120	Subst	Gov	-	A1	Verb	ж	FL	в	D	к	D
121	Miss	Gov	-	A1	Verb	ж	FL	-	A	в	A
122	Miss	Gov	Transfer	A1	Verb	ж	FL	-	N	на	A anim
123	Subst	Gov	-	A1	Verb	ж	FL	около	N	к	D
124	Subst	Gov	-	A1	Verb	ж	FL	на	A	в	A
125	Subst	Gov	-	A1	Verb	ж	FL	с	G	из	G
126	Extra	Gov	Transfer	A1	Verb	ж	FL	с	I	-	I
127	Subst	Gov	-	A1	Verb	ж	FL	на	A	в	A
